region,prefecture,commune,nom,categorie,statut,en_service,lon,lat
Maritime,Golfe,Golfe 3,SCA-Togo Agbalepedogan,Assurance,Utilisé,True,1.20676,6.18487
Maritime,Golfe,Golfe 3,COOPEC-AD Ramco,Micro-Finance,Utilisé,True,1.21898,6.15078
Maritime,Golfe,Golfe 4,Fidelia Assurance Nyekonakpoè,Assurance,Utilisé,True,1.21289,6.13085
Maritime,Golfe,Golfe 4,SCA-Togo Kodjoviakope,Assurance,Utilisé,True,1.20743,6.1225
Maritime,Golfe,Golfe 4,CARI Conseil,Assurance,Utilisé,True,1.2195,6.13575
Maritime,Golfe,Golfe 1,A.C.A,Assurance,Utilisé,True,1.23723,6.13114
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,BC2A Agbalépédogan,Assurance,Utilisé,True,1.20389,6.20011
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,S2CA,Assurance,Utilisé,True,1.17502,6.21147
Maritime,Golfe,Golfe 5,La Citoyenneté Vie,Assurance,Utilisé,True,1.1883,6.19878
Maritime,Golfe,Golfe 4,Banque Atlantique Nyékonakpoè,Banque,Néant,True,1.22179,6.12887
Maritime,Golfe,Golfe 4,UTB Circulaire,Banque,Utilisé,True,1.20994,6.12668
Maritime,Golfe,Golfe 4,NSIA Assurance Dékon,Assurance,Utilisé,True,1.22324,6.13411
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,UTB ADidoadin,Banque,Utilisé,True,1.18968,6.20629
Maritime,Golfe,Golfe 4,UTB Adawlato,Banque,Utilisé,True,1.22462,6.12483
Maritime,Golfe,Golfe 5,SUNU Assurance Avedji,Assurance,Utilisé,True,1.17069,6.19948
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,UTB Agoe Nyive,Banque,Utilisé,True,1.20845,6.21801
Maritime,Golfe,Golfe 3,UTB Campus,Banque,Utilisé,True,1.21331,6.16293
Maritime,Golfe,Golfe 4,UTB Media Plus,Banque,Utilisé,True,1.22716,6.13663
Maritime,Golfe,Golfe 4,UTB Boulevard Est,Banque,Utilisé,True,1.2367,6.13113
Maritime,Golfe,Golfe 7,CEC Canaan Wognomé,Micro-Finance,Néant,True,1.15915,6.18436
Maritime,Golfe,Golfe 5,CEC Canaan Agbalépédogan,Micro-Finance,Utilisé,True,1.20078,6.18729
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,MECI Adétikopé,Micro-Finance,Utilisé,True,1.21943,6.32059
Maritime,Golfe,Golfe 6,SUNU Bank Baguida,Banque,Utilisé,True,1.32577,6.16479
Maritime,Golfe,Golfe 5,BTCI Amadahome,Banque,Utilisé,True,1.16575,6.20358
Maritime,Golfe,Golfe 6,COECEPT Baguida,Micro-Finance,Utilisé,True,1.31452,6.16128
Maritime,Golfe,Golfe 1,COOPEC la destinee,Micro-Finance,Utilisé,True,1.24759,6.14689
Maritime,Golfe,Golfe 3,SICAB Adewi,Micro-Finance,Utilisé,True,1.21488,6.16166
Maritime,Golfe,Golfe 5,Mutuelle ASJD Agbalépédogan,Mutuelle,Utilisé,True,1.20107,6.19748
